species,JENKINS_SPGRPCD,type,WDSG
6247,8,H,0.52
6236,8,H,0.59
6238,8,H,0.52
6253,8,H,0.52
6255,8,H,0.52
6257,8,H,0.52
6251,8,H,0.52
6259,8,H,0.52
6260,8,H,0.21
6262,8,H,0.29
6264,8,H,0.44
6266,8,H,0.74
6267,8,H,0.74
6268,8,H,0.74
6270,8,H,0.52
6272,8,H,0.52
6273,8,H,0.52
6274,8,H,0.52
6275,8,H,0.52
6277,8,H,0.41
6279,8,H,0.41
6283,8,H,0.52
6284,8,H,0.52
5322,8,H,0.52
6286,8,H,0.28
6294,8,H,0.52
6295,8,H,0.52
6297,8,H,0.52
854,8,H,0.52
5328,8,H,0.52
6303,8,H,0.52
6304,8,H,0.52
5329,8,H,0.52
6306,8,H,0.52
6308,8,H,0.52
6311,8,H,0.52
6313,8,H,0.52
6315,8,H,0.52
6317,8,H,0.52
6318,8,H,0.9632
6319,8,H,0.52
6325,8,H,0.52
6320,8,H,0.52
6326,8,H,0.52
6328,8,H,0.52
6329,8,H,0.52
6331,4,S,0.41
81,1,S,0.35
6337,8,H,0.52
6338,8,H,0.52
6341,8,H,0.52
6343,8,H,0.56826
6344,8,H,0.43
6346,8,H,0.52
6350,8,H,0.52
6351,8,H,0.52
6352,8,H,0.52
6353,8,H,0.52
6354,8,H,0.52
6355,8,H,0.52
6356,8,H,0.52
6358,8,H,0.52
6359,8,H,0.52
6360,8,H,0.52
5363,8,H,0.52
5364,8,H,0.52
6367,8,H,0.37
6366,8,H,0.37
6370,8,H,0.52
6373,8,H,0.49
6374,8,H,0.55965
6375,8,H,0.49
6379,8,H,0.44
6380,8,H,0.52
6383,8,H,0.52
6384,8,H,0.52
6386,8,H,0.52
6387,8,H,0.52
6389,8,H,0.52
6390,8,H,0.52
5375,8,H,0.52
6393,8,H,0.52
6395,8,H,0.52
6397,8,H,0.5
5378,7,H,0.52
391,8,H,0.58
5401,8,H,0.4
421,8,H,0.4
424,8,H,0.4
422,8,H,0.4
5402,8,H,0.4
6429,8,H,0.52
6430,8,H,0.52
409,9,H,0.64
401,9,H,0.61
413,9,H,0.62
402,9,H,0.6
411,9,H,0.62
403,9,H,0.66
404,9,H,0.6
405,9,H,0.62
406,9,H,0.56
412,9,H,0.62
407,9,H,0.64
410,9,H,0.62
408,9,H,0.62
6399,8,H,0.48
6401,8,H,0.48
6402,8,H,0.52
6403,8,H,0.52
6406,8,H,0.52
6407,8,H,0.52
6410,8,H,0.52
6415,8,H,0.52
6417,8,H,0.52
6418,8,H,0.52
6419,8,H,0.52
6420,8,H,0.6
6425,8,H,0.52
6427,8,H,0.52
6433,8,H,0.52
6434,8,H,0.52
856,8,H,0.52
857,8,H,0.52
6437,8,H,0.82656
451,8,H,0.38
6439,8,H,0.52
5411,8,H,0.38
452,8,H,0.38
5415,8,H,0.52
6441,8,H,0.2322
6443,8,H,0.52
6445,8,H,0.52
5420,3,S,0.41
5423,1,S,0.41
5421,4,S,0.41
6447,8,H,0.52
6448,8,H,0.52
6449,8,H,0.52
461,8,H,0.49
462,8,H,0.49
6452,8,H,0.5
6458,8,H,0.49
6454,8,H,0.52
5432,7,H,0.52
6472,8,H,0.78
6473,8,H,0.44
6474,8,H,0.52
6475,8,H,0.52
6477,8,H,0.52
6457,8,H,0.52
6459,8,H,0.38022
6460,8,H,0.38745
6461,8,H,0.38
5435,8,H,0.52
471,8,H,0.52
5436,8,H,0.52
475,10,H,0.52
6468,8,H,0.52
6469,8,H,0.52
6480,8,H,0.52
41,1,S,0.39
42,1,S,0.42
5443,1,S,0.37
5444,1,S,0.37
43,1,S,0.31
6481,8,H,0.52
6482,8,H,0.48216
6483,8,H,0.48216
6492,8,H,0.48216
6493,8,H,0.48216
6494,8,H,0.48216
6495,8,H,0.48216
6497,8,H,0.48
6498,8,H,0.48
6499,8,H,0.48
6500,8,H,0.48
6504,8,H,0.48
6517,8,H,0.5
6507,8,H,0.47
6508,8,H,0.47
6509,8,H,0.47
6510,8,H,0.47
6514,8,H,0.47
5462,8,H,0.52
6519,8,H,0.52
6520,8,H,0.52
6521,8,H,0.52
6522,8,H,0.52
6523,8,H,0.52
6524,8,H,0.52
6526,8,H,0.52
6528,8,H,0.52
6529,8,H,0.52
6532,8,H,0.52
6535,8,H,0.52
6539,8,H,0.52
6541,8,H,0.52
6542,8,H,0.52
6543,8,H,0.52
6552,8,H,0.54
6554,8,H,0.52
6555,8,H,0.46
858,8,H,0.52
6557,8,H,0.47
6559,8,H,0.52
6560,8,H,0.52
6561,8,H,0.47
6562,8,H,0.47
6564,8,H,0.52
6546,8,H,0.19
6547,8,H,0.22
6548,8,H,0.21
6545,8,H,0.21
6565,8,H,0.52
859,8,H,0.52
6567,8,H,0.52
6569,8,H,0.52
6572,8,H,0.7
6578,8,H,0.7
6579,8,H,0.7
6580,8,H,0.7
6581,8,H,0.52
6582,8,H,0.52
6583,8,H,0.7
6584,8,H,0.52
6573,8,H,0.52
6574,8,H,0.52
6575,8,H,0.52
6576,8,H,0.52
6577,8,H,0.52
6593,8,H,0.58
6594,8,H,0.58
481,8,H,0.52
6588,8,H,0.35
6589,8,H,0.35
6590,8,H,0.35
6591,8,H,0.35
6597,8,H,0.5
6601,8,H,0.5
6604,8,H,0.5
6605,8,H,0.5
6606,8,H,0.5
6610,8,H,0.5
6611,8,H,0.5
6612,8,H,0.5
6613,8,H,0.5
6614,8,H,0.5
6615,8,H,0.5
6616,8,H,0.5
6620,8,H,0.5
6621,8,H,0.5
6622,8,H,0.5
6625,8,H,0.5
6626,8,H,0.5
6627,8,H,0.5
6629,8,H,0.5
6630,8,H,0.5
6596,8,H,0.5
6631,8,H,0.52
5523,8,H,0.52
6632,8,H,0.54
6633,8,H,0.60701
6634,8,H,0.54
6635,8,H,0.54
5529,8,H,0.52
6637,8,H,0.52
6639,8,H,0.52
6641,8,H,0.52
6642,8,H,0.52
6644,8,H,0.52
6646,8,H,0.52
6648,8,H,0.52
6650,8,H,0.52
6651,8,H,0.52
6653,8,H,0.52
6655,8,H,0.52
6658,8,H,0.52
863,8,H,0.52
6660,8,H,0.52
6661,8,H,0.52
6662,8,H,0.52
6663,8,H,0.52
6664,8,H,0.52
6665,8,H,0.52
6666,8,H,0.52
6668,8,H,0.52
6669,8,H,0.52
6670,8,H,0.52
6671,8,H,0.52
907,8,H,0.52
6673,8,H,0.52
6679,8,H,0.52
908,8,H,0.52
6683,8,H,0.52
6684,8,H,0.52
6686,8,H,0.52
6685,8,H,0.52
6688,8,H,0.52
6689,8,H,0.52
6691,8,H,0.34
6693,8,H,0.52
6694,8,H,0.7
