SPCD,DIVISION,STDORGCD,model,a,b,c
421,220,,1,0.010330972,2.00208267,0.646362812
421,,,1,0.010330972,2.00208267,0.646362812
460,230,,1,0.002077336,1.790874669,1.149587064
460,,,1,0.002008486,1.79223971,1.156261984
461,230,,1,0.003432017,1.922804585,0.941679203
461,,,1,0.003432017,1.922804585,0.941679203
462,,,1,0.004136564,1.865584549,0.938705552
471,,,1,0.004136564,1.878610654,0.938705552
491,230,,1,0.008194446,1.893488772,0.747430469
491,,,1,0.0111807,1.910731701,0.6415737
521,230,,1,0.003552144,2.023594005,0.924118257
521,,,1,0.003408989,2.014433866,0.937863417
531,210,,1,0.006027529,1.988168472,0.822915165
531,220,,1,0.007662313,1.883783539,0.843069665
531,230,,1,0.004124964,1.847656303,0.962373636
531,M210,,1,0.00417828,1.930462738,0.945666794
531,M220,,1,0.003581073,1.806523192,1.027222903
531,,,1,0.005379167,1.863515289,0.921757864
540,230,,1,0.005312132,1.90822808,0.877861062
540,M220,,1,0.004148954,1.924956424,0.932232339
540,,,1,0.004596321,1.927656284,0.901864392
541,210,,1,0.004120892,1.769149308,1.035531727
541,220,,1,0.004720938,1.85474921,0.950192767
541,M210,,1,0.008266759,1.933162326,0.778718858
541,M220,,1,0.001612761,1.801307721,1.209074511
541,,,1,0.004091448,1.81916471,1.003544125
543,210,,1,0.005058766,1.918842661,0.888005412
543,,,1,0.003714598,1.948413258,0.9494668
544,230,,1,0.007105132,1.706840862,0.899455362
544,,,1,0.004737953,1.570408599,1.090585794
552,,,1,0.004136564,1.895758666,0.938705552
555,230,,1,0.00646269,2.098479877,0.726499651
555,,,1,0.00646269,2.098479877,0.726499651
591,230,,1,0.004546795,1.913814308,0.915205868
591,,,1,0.004546795,1.913814308,0.915205868
601,,,1,0.004136564,1.910198504,0.938705552
602,220,,1,0.00487379,1.939683747,0.895515099
602,M220,,1,0.002641771,1.782277423,1.117062888
602,,,1,0.003501748,1.899878684,0.990855451
611,230,,1,0.003256288,1.883263141,1.003949209
611,,,1,0.003180111,1.882367292,1.010070568
621,220,,1,0.002469165,1.83580551,1.104226605
621,230,,1,0.002243995,1.829815868,1.120259811
621,M220,,1,0.002971224,1.895885771,1.020877052
621,,,1,0.002319635,1.867894331,1.091914892
