SPCD,DIVISION,STDORGCD,model,alpha,beta
832,M220,,6,2.445861835,0.90995084
832,,,6,2.450485705,0.908883499
833,210,,6,2.433354119,0.892772813
833,220,,6,2.476535009,0.892300821
833,230,,6,2.303017094,0.80673287
833,M220,,6,2.482979109,0.88719062
833,,,6,2.437105962,0.874737567
834,,,6,2.599079763,0.895693876
835,220,,6,2.546574111,0.904814857
835,230,,6,2.467966149,0.841875682
835,,,6,2.484033947,0.855892084
837,220,,6,2.431655451,0.888874862
837,230,,6,2.404156899,0.832740045
837,M210,,6,2.262466687,0.908913582
837,M220,,6,2.454223205,0.879063389
837,,,6,2.426763441,0.871633507
838,230,,6,2.614850676,0.852650937
838,,,6,2.614850676,0.852650937
901,M220,,6,2.484302556,0.922023407
901,,,6,2.486563202,0.91807028
920,,,6,2.355911113,0.965584036
922,,,6,2.521901805,0.965584036
931,,,6,2.196547242,0.902460358
950,210,,6,1.884744112,0.827486237
950,M220,,6,2.35453201,0.950834227
950,,,6,2.091127406,0.873285579
951,210,,6,2.302846227,0.952512915
951,220,,6,2.37385281,0.932504351
951,,,6,2.321775129,0.950405419
970,230,,6,2.470065214,0.852413997
970,,,6,2.476714229,0.855815791
971,,,6,2.565858523,0.902460358
972,210,,6,2.776398291,0.88910715
972,,,6,2.715680443,0.89087563
975,,,6,2.239892081,0.902460358
999,230,,6,2.476866562,0.842332132
999,M220,,6,2.306852742,0.869370347
999,,,6,2.385998142,0.852145003
